rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
183,frame_0105.jpg,42.0,0.392,0.552,0.3333,0.08,11,2,False,False
184,frame_0181.jpg,72.4,0.3889,0.5619,0.3333,0.04,10,2,False,False
185,frame_0390.jpg,156.0,0.3868,0.5417,0.3333,0.08,12,2,False,False
186,frame_0296.jpg,118.4,0.3865,0.517,0.0,0.64,9,0,False,False
187,frame_0218.jpg,87.2,0.3845,0.425,0.3333,0.36,11,2,False,False
188,frame_0087.jpg,34.8,0.3825,0.373,0.3333,0.48,7,2,False,False
189,frame_0215.jpg,86.0,0.3824,0.3729,0.3333,0.48,10,2,False,False
190,frame_0214.jpg,85.6,0.3802,0.3524,0.3333,0.52,6,2,False,False
191,frame_0083.jpg,33.2,0.3794,0.3029,0.3333,0.64,10,2,False,False
192,frame_0217.jpg,86.8,0.3789,0.3978,0.3333,0.4,9,2,False,False
193,frame_0189.jpg,75.6,0.3784,0.5249,0.3333,0.08,9,2,False,False
194,frame_0071.jpg,28.4,0.3771,0.3543,0.0,1.0,12,0,False,False
195,frame_0179.jpg,71.6,0.3744,0.4008,0.5,0.12,14,3,False,False
196,frame_0121.jpg,48.4,0.3717,0.3194,0.3333,0.56,8,2,False,False
197,frame_0011.jpg,4.4,0.3713,0.3426,0.0,1.0,5,0,False,False
198,frame_0305.jpg,122.0,0.3708,0.5296,0.1667,0.28,10,1,False,False
199,frame_0084.jpg,33.6,0.3694,0.2989,0.3333,0.6,11,2,False,False
200,frame_0385.jpg,154.0,0.3689,0.4578,0.3333,0.2,14,2,False,False
201,frame_0188.jpg,75.2,0.3687,0.5215,0.3333,0.04,12,2,False,False
202,frame_0019.jpg,7.6,0.3648,0.2295,0.1667,1.0,5,1,False,False
203,frame_0205.jpg,82.0,0.3648,0.3416,0.1667,0.72,5,1,False,False
204,frame_0325.jpg,130.0,0.3627,0.5094,0.3333,0.04,16,2,False,False
205,frame_0097.jpg,38.8,0.361,0.3901,0.5,0.08,11,3,False,False
206,frame_0194.jpg,77.6,0.3564,0.4009,0.3333,0.28,9,2,False,False
207,frame_0285.jpg,114.0,0.3564,0.3728,0.1667,0.6,7,1,False,False
208,frame_0268.jpg,107.2,0.3539,0.5758,0.1667,0.08,7,1,False,False
209,frame_0220.jpg,88.0,0.351,0.49,0.1667,0.28,6,1,False,False
210,frame_0095.jpg,38.0,0.3497,0.5354,0.1667,0.16,10,1,False,False
211,frame_0330.jpg,132.0,0.3491,0.4822,0.3333,0.04,15,2,False,False
212,frame_0281.jpg,112.4,0.3484,0.4208,0.1667,0.44,9,1,False,False
213,frame_0112.jpg,44.8,0.3445,0.409,0.3333,0.2,10,2,False,False
214,frame_0216.jpg,86.4,0.3428,0.3097,0.3333,0.44,9,2,False,False
215,frame_0274.jpg,109.6,0.3371,0.5101,0.1667,0.16,12,1,False,False
216,frame_0008.jpg,3.2,0.337,0.274,0.0,1.0,7,0,False,False
217,frame_0219.jpg,87.6,0.3364,0.4448,0.1667,0.32,10,1,False,False
218,frame_0200.jpg,80.0,0.3352,0.3624,0.1667,0.52,4,1,False,False
219,frame_0376.jpg,150.4,0.3331,0.5022,0.1667,0.16,10,1,False,False
